Twitter_Team_Names ;Twitter_handle;;URL
Gonzaga Basketball;ZagMBB;Verified;https://pbs.twimg.com/profile_images/1341160045887717378/_To2B3ct_400x400.jpg
Duke Men’s Basketball;DukeMBB;Verified;https://pbs.twimg.com/profile_images/1500309968343511044/_NV2u5nZ_400x400.jpg
Kansas Men’s Basketball;KUHoops;Verified;https://pbs.twimg.com/profile_images/998675266980405248/8jHTyCqT_400x400.jpg
Arizona Basketball;ArizonaMBB;Verified;https://pbs.twimg.com/profile_images/899125033422868482/bX68Q8LM_400x400.jpg
Ohio State Hoops;OhioStateHoops;Verified;https://pbs.twimg.com/profile_images/1364756145072574474/Pk7_edZz_400x400.jpg
Wisconsin Basketball;BadgerMBB;Verified;https://pbs.twimg.com/profile_images/1498888062910279684/q26uc-Uz_400x400.jpg
Michigan Men's Basketball;umichbball;Verified;https://pbs.twimg.com/profile_images/1498895975636783104/4aoCiJNo_400x400.png
Sweet Sixteen Hogs;RazorbackMBB;Verified;https://pbs.twimg.com/profile_images/1506991663092170752/HajgWczu_400x400.png
LSU Basketball;LSUBasketball;Verified;https://pbs.twimg.com/profile_images/1412503702737461253/9xCFGnI2_400x400.jpg
Virginia Tech Men's Basketball;HokiesMBB;Verified;https://pbs.twimg.com/profile_images/1502889844137238529/iMjrfLRQ_400x400.jpg
Baylor Men’s Basketball;BaylorMBB;Verified;https://pbs.twimg.com/profile_images/1432829284863942657/sjizcpFa_400x400.jpg
UConn Men's Basketball;UConnMBB;Verified;https://pbs.twimg.com/profile_images/1108551390077562880/rIVWR0yg_400x400.png
Creighton Men’s Basketball;BluejayMBB;Verified;https://pbs.twimg.com/profile_images/1488169729634324483/dvVaArNQ_400x400.jpg
Michigan State Men's Basketball;MSU_Basketball;Verified;https://pbs.twimg.com/profile_images/1505899030236172292/3hXjV8X3_400x400.jpg
USC Men's Basketball;USC_Hoops;Verified;https://pbs.twimg.com/profile_images/1324444454091022337/nHASwy5N_400x400.jpg
Providence MBB;PCFriarsmbb;Verified;https://pbs.twimg.com/profile_images/1375046139251150852/77O5zggd_400x400.jpg
Notre Dame Men's Basketball;NDmbb;Verified;https://pbs.twimg.com/profile_images/1496933211892600833/zWNdOruN_400x400.jpg
Tennessee Basketball;Vol_Hoops;Verified;https://pbs.twimg.com/profile_images/1492843233797459972/C2BiDkEH_400x400.jpg
Auburn Basketball;AuburnMBB;Verified;https://pbs.twimg.com/profile_images/1037333178929831936/btd8wUGa_400x400.jpg
Memphis Basketball;Memphis_MBB;Verified;https://pbs.twimg.com/profile_images/1383134530354106368/VYu5KjCQ_400x400.jpg
Carolina Basketball;UNC_Basketball;Verified;https://pbs.twimg.com/profile_images/1331633392648011782/zjZwMjc__400x400.jpg
Marquette Basketball;MarquetteMBB;Verified;https://pbs.twimg.com/profile_images/1442517887915212806/NSlPV1SR_400x400.jpg
Illinois Basketball;IlliniMBB;Verified;https://pbs.twimg.com/profile_images/1366398680903921669/yJqMbBag_400x400.jpg
Akron Zips MBB;ZipsMBB;Verified;https://pbs.twimg.com/profile_images/1410587686675517443/V5kmbo6R_400x400.jpg
Saint Mary's Hoops;saintmaryshoops;Verified;https://pbs.twimg.com/profile_images/1115385981627011072/1IxUaYpp_400x400.png
Wright State Men’s Basketball;WSU_MBB;Verified;https://pbs.twimg.com/profile_images/1501388763397869569/lx1gXglG_400x400.jpg
Wyoming Cowboy Basketball;wyo_mbb;Verified;https://pbs.twimg.com/profile_images/1414668963821150208/KgzAt3oE_400x400.jpg
Indiana Basketball;IndianaMBB;Verified;https://pbs.twimg.com/profile_images/1490039869695049736/cMhfTckN_400x400.jpg
Villanova MBB;NovaMBB;Verified;https://pbs.twimg.com/profile_images/1329527663451643906/9UGNYjOk_400x400.jpg
Colgate Men's Basketball;ColgateMBB;Not verified ;https://pbs.twimg.com/profile_images/1416205068873912323/yaEnBVw9_400x400.jpg
Texas Tech Basketball;TexasTechMBB;Verified;https://pbs.twimg.com/profile_images/1489605965578133507/wicfpHz9_400x400.jpg
Loyola Men's Basketball;RamblersMBB;Verified;https://pbs.twimg.com/profile_images/1171880233072381952/lllZSbDI_400x400.jpg
Kentucky Men’s Basketball;KentuckyMBB;Verified;https://pbs.twimg.com/profile_images/1402652106432131081/g-dnnKFz_400x400.jpg
UAB Men's Basketball;UAB_MBB;Verified;https://pbs.twimg.com/profile_images/1502908444508053506/htNKGhTz_400x400.jpg
Iowa State Men’s Basketball;CycloneMBB;Verified;https://pbs.twimg.com/profile_images/1059535164072775681/rMCYO_8D_400x400.jpg
UCLA Men’s Basketball;UCLAMBB;Verified;https://pbs.twimg.com/profile_images/1258176645132738561/4W8mJgJw_400x400.jpg
TCU Basketball;TCUBasketball;Verified;https://pbs.twimg.com/profile_images/1499067589846134784/yVxsNBqM_400x400.jpg
Murray State MBB;RacersHoops;Not Verified ;https://pbs.twimg.com/profile_images/923589656175931392/wNu9h_OF_400x400.jpg
Rutgers Basketball;RutgersMBB;Verified;https://pbs.twimg.com/profile_images/1230373625141891072/jwzACx6k_400x400.jpg
Houston Men's Hoops;UHCougarMBK;Verified;https://pbs.twimg.com/profile_images/1223014584581349384/_ocmlzHz_400x400.jpg
Saint Peter's Men's Basketball;PeacocksMBB;Verified;https://pbs.twimg.com/profile_images/1494044691859398662/BByCxJ3O_400x400.jpg
Purdue Mens Basketball;BoilerBall;Verified;https://pbs.twimg.com/profile_images/1367126129576976391/ZPCyvDcG_400x400.jpg
Oregon Men's Basketball;OregonMBB;Verified;https://pbs.twimg.com/profile_images/1334189860068990977/KknrWnph_400x400.jpg
San Diego State Men's Basketball;Aztec_MBB;Verified;https://pbs.twimg.com/profile_images/870022001561280512/Rhbb2yGn_400x400.jpg
Texas Men’s Basketball;TexasMBB;Verified;https://pbs.twimg.com/profile_images/1181296386370764803/pn67Rr77_400x400.jpg
Texas Southern Basketball;TSUMensHoops;Not verified ;https://pbs.twimg.com/profile_images/1164662038678966272/eME4wnVE_400x400.jpg
Jackrabbit Basketball;GoJacksMBB;Verified;https://pbs.twimg.com/profile_images/1425298606588895236/DNGIIxEv_400x400.png
Delaware Men’s Basketball;DelawareMBB;Not verified ;https://pbs.twimg.com/profile_images/1314604178661158913/1dU50F0T_400x400.jpg
Longwood Men's Basketball;LongwoodMBB;Verified;https://pbs.twimg.com/profile_images/1422932309511131138/KBzzhKbp_400x400.jpg
Alabama Men’s Basketball;AlabamaMBB;Verified;https://pbs.twimg.com/profile_images/1322182549704245250/bchCgNvn_400x400.jpg
Iowa Men’s Basketball;IowaHoops;Verified;https://pbs.twimg.com/profile_images/1278390864994336768/z5sef9yG_400x400.jpg